Image Index,Split,Severity Rating,Depth (m),Area (m^2),Estimated Volume (m^3),Geometric Location
11,train,medium,0.028768025499739096,0.11962890625,0.003441487425505898,"(4, 7)"
12,train,medium,0.03787417658818455,0.31103515625,0.011780200432946074,"(8, 17)"
13,train,medium,0.03976302641732625,0.11962890625,0.004756807359494596,"(22, 25)"
14,train,medium,0.041153343854601815,0.1435546875,0.0059077554166274086,"(5, 26)"
14,train,high,0.06797905982134438,0.0478515625,0.003252904229732299,"(14, 26)"
14,train,high,0.06703591899580236,0.3349609375,0.022454414273008014,"(19, 17)"
14,train,medium,0.05390130354696605,0.035888671875,0.0019344461966318382,"(8, 17)"
15,train,high,0.0689397373454514,0.562255859375,0.03876177126625356,"(10, 15)"
15,train,medium,0.05417394185971356,0.50244140625,0.02721923153010022,"(21, 17)"
16,train,medium,0.03876606865185395,0.45458984375,0.01762266109124806,"(18, 7)"
17,train,medium,0.04438758875410574,0.322998046875,0.014337104473066868,"(5, 11)"
17,train,medium,0.05243341274909476,0.035888671875,0.0018817655454387034,"(24, 28)"
17,train,high,0.07290898561615589,0.322998046875,0.02354945995365582,"(18, 9)"
18,train,high,0.0631293902536867,0.035888671875,0.002265629972483385,"(15, 17)"
19,train,high,0.06365421771225035,0.035888671875,0.002284465332934766,"(6, 9)"
19,train,high,0.06574915325183771,0.035888671875,0.0023596497871142927,"(22, 8)"
19,train,high,0.05964526284071761,0.6220703125,0.037103547294469845,"(24, 19)"
20,train,high,0.06883461676223059,0.31103515625,0.02140998578004926,"(23, 7)"
20,train,medium,0.03224772820643166,0.107666015625,0.0034719844089444243,"(14, 28)"
21,train,high,0.0741484185093292,0.0478515625,0.003548117682575323,"(15, 18)"
22,train,medium,0.033962016552095256,0.3349609375,0.011375948903680344,"(10, 11)"
22,train,high,0.06492846866052529,0.634033203125,0.04116680495883403,"(26, 11)"
22,train,high,0.07395315226763571,0.0478515625,0.003538773887806787,"(18, 24)"
22,train,high,0.06456441895896886,0.31103515625,0.020081804139093343,"(7, 24)"
22,train,medium,0.043904246295117674,0.50244140625,0.022059311248865277,"(26, 24)"
23,train,high,0.06988673863169793,0.035888671875,0.0025081422311668935,"(14, 10)"
24,train,high,0.06762560044319692,0.0478515625,0.003235990646207665,"(10, 14)"
24,train,medium,0.039646040061723335,0.370849609375,0.014702718470155699,"(23, 27)"
25,train,high,0.06720275064880621,0.107666015625,0.007235452401397348,"(19, 15)"
25,train,medium,0.03720455480235657,0.1435546875,0.005340888238228922,"(12, 22)"
25,train,high,0.06727865994642372,0.299072265625,0.020121181258390883,"(10, 9)"
26,train,medium,0.0378461131357539,0.50244140625,0.019015454305024788,"(9, 10)"
26,train,high,0.07277298401618934,0.634033203125,0.046140488156748954,"(24, 11)"
27,train,high,0.06992155983361253,0.346923828125,0.0242574552059481,"(27, 17)"
27,train,high,0.06717163336474215,0.299072265625,0.020089172576125275,"(11, 9)"
27,train,high,0.07029294178099134,0.31103515625,0.021863576130122794,"(10, 25)"
27,train,medium,0.028215265327956884,0.50244140625,0.014176517589095524,"(26, 7)"
28,train,high,0.0692226364692212,0.275146484375,0.019046365063674874,"(18, 27)"
29,train,high,0.07447638757776769,0.11962890625,0.008909528787379436,"(12, 15)"
29,train,high,0.05835068930397952,0.11962890625,0.006980429140368644,"(22, 9)"
30,train,medium,0.03537827534519394,0.035888671875,0.0012696793153670676,"(4, 16)"
30,train,medium,0.03611337308573867,0.035888671875,0.0012960609969735314,"(25, 20)"
30,train,high,0.06816054358950309,0.107666015625,0.007338574151115934,"(19, 17)"
31,train,high,0.07479090973326176,0.035888671875,0.002684146418649775,"(18, 27)"
32,train,medium,0.03650914179444874,0.107666015625,0.0039307938308964585,"(11, 27)"
33,train,high,0.07455847324775407,0.562255859375,0.04192093844960391,"(15, 6)"
33,train,medium,0.030272000696808236,0.50244140625,0.01520990660010531,"(24, 25)"
33,train,high,0.06250189075607031,0.035888671875,0.002243109848911703,"(16, 17)"
34,train,high,0.06994174499337104,0.035888671875,0.0025101163364320174,"(11, 11)"
35,train,medium,0.04770855481308557,0.40673828125,0.01940489558559584,"(24, 8)"
35,train,high,0.06681797161922094,0.2392578125,0.015986721725301887,"(17, 22)"
35,train,medium,0.04230335694741245,0.035888671875,0.001518211296696687,"(6, 5)"
36,train,high,0.07374186384128022,0.035888671875,0.0026464975548506327,"(9, 7)"
36,train,high,0.06564416201463914,0.1435546875,0.009423527164210892,"(22, 7)"
36,train,high,0.0681548576143127,0.322998046875,0.022013885894466723,"(19, 15)"
36,train,medium,0.045221527874796275,0.035888671875,0.0016229405755847296,"(3, 27)"
36,train,medium,0.04363585764391273,0.035888671875,0.0015660329769665946,"(12, 22)"
37,train,medium,0.03759538518311363,0.11962890625,0.00449749480950334,"(14, 10)"
37,train,medium,0.04542938947958272,0.11962890625,0.005434668175047738,"(22, 20)"
38,train,medium,0.04308553746990569,0.035888671875,0.001546282716815463,"(5, 13)"
38,train,medium,0.033604643766108146,0.478515625,0.016080347114641593,"(19, 20)"
39,train,high,0.07468912334935908,0.1435546875,0.010721973762066196,"(12, 7)"
39,train,high,0.060783940849515876,0.40673828125,0.024723155628733753,"(12, 26)"
39,train,medium,0.030006094401305403,0.299072265625,0.008973990635156035,"(18, 15)"
40,train,high,0.07455399216990602,0.442626953125,0.032999606397470606,"(17, 22)"
41,train,medium,0.04132706665618377,0.1435546875,0.005932694139120131,"(27, 24)"
42,train,high,0.06705514229239455,0.562255859375,0.037702146655123205,"(8, 13)"
42,train,high,0.0748097011223037,0.50244140625,0.03758749143303247,"(22, 8)"
42,train,medium,0.037754612742469496,0.1435546875,0.005419851633928726,"(21, 21)"
42,train,high,0.06585448588525361,0.40673828125,0.026785540401570437,"(12, 24)"
42,train,medium,0.038169172351706526,0.11962890625,0.004566136340902392,"(28, 17)"
42,train,high,0.06547078368001655,0.1435546875,0.009398637891564875,"(6, 4)"
43,train,high,0.062111492419238114,0.0478515625,0.002972131961467449,"(21, 18)"
44,train,medium,0.03820645097284281,0.26318359375,0.010055311071465954,"(13, 9)"
44,train,high,0.07015234834863497,0.0478515625,0.003356899481526478,"(22, 13)"
44,train,high,0.07258069581255222,0.1435546875,0.010419299105903492,"(23, 26)"
44,train,high,0.06957850828340428,0.11962890625,0.00832360084445022,"(28, 10)"
45,train,medium,0.032742604580786434,0.0478515625,0.0015667847895102884,"(27, 16)"
45,train,high,0.0573669527367991,0.107666015625,0.006176471229718848,"(24, 23)"
45,train,high,0.06521927967005968,0.035888671875,0.00234063332800263,"(13, 24)"
45,train,high,0.06779563275623067,0.322998046875,0.02189785696691728,"(23, 7)"
46,train,high,0.06152857500593409,0.2392578125,0.014721192262161965,"(6, 19)"
46,train,high,0.0717217202328991,0.107666015625,0.0077219918512471935,"(14, 5)"
47,train,medium,0.04000752471435542,0.035888671875,0.0014358169270044547,"(5, 25)"
47,train,medium,0.035394716230120304,0.035888671875,0.0012702693568915247,"(15, 21)"
47,train,medium,0.047634803246712744,0.538330078125,0.025643247353271875,"(6, 11)"
47,train,high,0.07424725054050424,0.035888671875,0.0026646352122690732,"(20, 9)"
48,train,medium,0.05214577562630509,0.1435546875,0.007485770524479344,"(7, 20)"
48,train,medium,0.030345829574941162,0.0478515625,0.0014520953605196454,"(27, 23)"
48,train,medium,0.040578458642599645,0.035888671875,0.0014563069874175166,"(21, 18)"
48,train,medium,0.051557184605780335,0.562255859375,0.028988329137478543,"(6, 10)"
49,train,high,0.06874402349294748,0.50244140625,0.03453984383507957,"(8, 10)"
49,train,medium,0.026086315633379927,0.035888671875,0.000936203222194055,"(28, 12)"
50,train,high,0.06095039612142073,0.035888671875,0.0021874287670529415,"(8, 21)"
50,train,high,0.07288879536732927,0.514404296875,0.03749430953099677,"(17, 20)"
51,train,medium,0.04897650260622324,0.0478515625,0.0023436021754931046,"(14, 10)"
51,train,high,0.06344968955642331,0.287109375,0.018217000712488725,"(6, 11)"
51,train,high,0.06975634868580666,0.0478515625,0.0033379502789106703,"(23, 20)"
52,train,medium,0.02955489485567101,0.035888671875,0.0010606859237753024,"(3, 8)"
52,train,medium,0.04243684383180282,0.035888671875,0.0015230019636901892,"(13, 18)"
53,train,high,0.058445344933005315,0.0478515625,0.0027967010758957623,"(15, 20)"
53,train,medium,0.04630920728082481,0.107666015625,0.0049859278346786485,"(23, 12)"
53,train,medium,0.02836689152666757,0.1435546875,0.004072200248457161,"(4, 23)"
53,train,medium,0.045073926771880275,0.57421875,0.025882293888540627,"(9, 7)"
54,train,high,0.07043625941083553,0.538330078125,0.03791795703146786,"(25, 25)"
54,train,high,0.056270805192650326,0.107666015625,0.006058453391103221,"(18, 5)"
54,train,medium,0.04701347376134922,0.40673828125,0.019122179513283155,"(7, 16)"
55,train,medium,0.04553664834099437,0.3349609375,0.015252998418907295,"(9, 9)"
55,train,medium,0.026648347325312023,0.1435546875,0.003825495172676628,"(15, 23)"
56,train,high,0.07211478897161185,0.035888671875,0.002588103998737046,"(8, 19)"
57,train,medium,0.035081376222253324,0.346923828125,0.012170565334917473,"(10, 13)"
57,train,high,0.056488294642512746,0.346923828125,0.01959713542163345,"(22, 10)"
57,train,high,0.056786777051238725,0.442626953125,0.025135358103978468,"(25, 25)"
57,train,high,0.0681338561067241,0.11962890625,0.008150778684642286,"(14, 25)"
58,train,medium,0.03855390030758908,0.59814453125,0.023060804627342103,"(12, 13)"
58,train,high,0.07384632041278094,0.2392578125,0.017668309083136064,"(25, 7)"
59,train,high,0.06846878529149657,0.50244140625,0.034401552766088854,"(21, 17)"
59,train,high,0.060647357043289406,0.1435546875,0.008706212388050335,"(22, 28)"
59,train,medium,0.030420187596594074,0.562255859375,0.017103928719471716,"(6, 7)"
59,train,high,0.056421748984750004,0.50244140625,0.0283486229029823,"(6, 19)"
60,train,high,0.06254281567826846,0.1435546875,0.00897831436006393,"(5, 8)"
60,train,high,0.0721819751935028,0.322998046875,0.023314637007081106,"(22, 19)"
60,train,medium,0.0527519609469066,0.59814453125,0.031553296953105756,"(20, 7)"
61,train,high,0.06177332269024991,0.1435546875,0.008867850034635485,"(11, 26)"
61,train,medium,0.028925519812698357,0.322998046875,0.009342886404345685,"(17, 6)"
61,train,high,0.06118355297346207,0.1435546875,0.008783185827245044,"(6, 12)"
61,train,medium,0.04213243696448869,0.3349609375,0.014112720584784787,"(23, 20)"
62,train,medium,0.04861624677983595,0.3349609375,0.016284543599105205,"(22, 16)"
62,train,high,0.0667026000791892,0.107666015625,0.00718160318235411,"(4, 21)"
63,train,high,0.06423187069151753,0.035888671875,0.002305196531165302,"(18, 26)"
63,train,high,0.07450319985903579,0.107666015625,0.008021462680135446,"(24, 23)"
64,train,high,0.06933507277296276,0.0478515625,0.003317791568237476,"(26, 17)"
64,train,high,0.05947676933825882,0.45458984375,0.02703753528023387,"(18, 12)"
64,train,medium,0.05363008713543001,0.1435546875,0.007698850399324425,"(10, 25)"
64,train,medium,0.044265178470577725,0.107666015625,0.004765855396856635,"(9, 15)"
64,train,high,0.07413532048653562,0.0478515625,0.0035474909217189897,"(9, 6)"
64,train,high,0.0713396288756242,0.035888671875,0.002560284532401552,"(21, 22)"
65,train,high,0.06247037448242177,0.0478515625,0.0029893050289440106,"(8, 28)"
65,train,medium,0.04289582404692846,0.346923828125,0.014881583488936851,"(15, 22)"
65,train,medium,0.04328846876891507,0.322998046875,0.013982090864569002,"(8, 10)"
66,train,high,0.06582332059202002,0.035888671875,0.002362311554449937,"(10, 24)"
66,train,high,0.05625059181850433,0.322998046875,0.018168831292939752,"(27, 9)"
66,train,medium,0.0515305666145573,0.31103515625,0.016027817838609862,"(16, 11)"
67,train,medium,0.0505141339438905,0.035888671875,0.001812885178162086,"(26, 10)"
67,train,medium,0.03985051589752031,0.035888671875,0.0014301820890955776,"(9, 4)"
68,train,high,0.06854839535541637,0.35888671875,0.024601108684683123,"(17, 5)"
69,train,medium,0.05400663935245817,0.57421875,0.03101162494066934,"(22, 13)"
69,train,high,0.06479054827091238,0.299072265625,0.01937705606246769,"(9, 17)"
70,train,high,0.06157654985142225,0.478515625,0.029465341237496976,"(13, 10)"
71,train,high,0.06514383842312932,0.59814453125,0.03896543069742842,"(6, 23)"
71,train,high,0.0689744976367651,0.287109375,0.019803224907430604,"(21, 10)"
72,train,medium,0.027224328789569048,0.035888671875,0.0009770450029459594,"(19, 29)"
72,train,medium,0.025597255252829892,0.31103515625,0.007961646287135079,"(16, 21)"
72,train,high,0.07375583223362625,0.035888671875,0.002646998861900161,"(8, 14)"
73,train,medium,0.0477854972910341,0.035888671875,0.0017149580326616242,"(3, 8)"
73,train,high,0.06123057840360655,0.2392578125,0.014649894246956646,"(7, 20)"
74,train,high,0.06745736798334603,0.287109375,0.01936764276084349,"(13, 6)"
74,train,medium,0.05380017709347694,0.35888671875,0.01930816902524685,"(9, 21)"
75,train,medium,0.04192245258578506,0.2392578125,0.010030274300309902,"(21, 24)"
75,train,medium,0.047307818742778535,0.634033203125,0.029994727850340786,"(20, 9)"
75,train,high,0.056918918797732684,0.442626953125,0.025193847602609707,"(7, 6)"
75,train,medium,0.05445774118337318,0.31103515625,0.016938272037992537,"(6, 18)"
75,train,medium,0.027743493312403965,0.1435546875,0.003982708512620491,"(8, 26)"
76,train,medium,0.04582669019364752,0.31103515625,0.014253711744801499,"(26, 16)"
77,train,medium,0.03939018916516207,0.40673828125,0.016021497839150394,"(16, 18)"
77,train,high,0.07018621828114928,0.0478515625,0.0033585202107190575,"(5, 13)"
77,train,medium,0.04963247455203901,0.6220703125,0.030874888954735204,"(19, 6)"
78,train,medium,0.04292796389433194,0.31103515625,0.013352105957367895,"(23, 22)"
78,train,high,0.06353652030161763,0.538330078125,0.03420361993776047,"(16, 10)"
79,train,medium,0.05366214398106103,0.634033203125,0.034023581034867065,"(17, 7)"
79,train,medium,0.04998875977818851,0.55029296875,0.027508463022469946,"(22, 22)"
79,train,medium,0.03759765504563435,0.035888671875,0.0013493299052022094,"(25, 8)"
79,train,medium,0.036016373674090746,0.0478515625,0.001723439755889108,"(3, 5)"
79,train,high,0.05847894287681348,0.11962890625,0.006995771975009425,"(10, 27)"
80,train,high,0.06395291432097717,0.107666015625,0.0068855554725466145,"(28, 28)"
80,train,medium,0.03457692918941627,0.0478515625,0.0016545600881654268,"(25, 17)"
80,train,high,0.07092506264503606,0.1435546875,0.010181625203926075,"(6, 24)"
80,train,medium,0.05485483397013826,0.035888671875,0.0019686671371118955,"(20, 14)"
81,train,high,0.06711756978423741,0.562255859375,0.03773724687819794,"(21, 18)"
81,train,high,0.07204340467786777,0.035888671875,0.002585542111241836,"(23, 5)"
81,train,medium,0.04285844366253255,0.322998046875,0.013843193595100237,"(10, 19)"
81,train,high,0.06368032636975668,0.107666015625,0.006856207013931322,"(6, 7)"
81,train,high,0.05931278297555974,0.11962890625,0.007095523354009832,"(16, 5)"
81,train,medium,0.051005736841301844,0.1435546875,0.0073221126129603235,"(5, 27)"
82,train,medium,0.02663149554485772,0.322998046875,0.008601921046349307,"(14, 11)"
82,train,high,0.07402201494121277,0.538330078125,0.03984827708627299,"(21, 23)"
83,train,high,0.07229846404990854,0.35888671875,0.025946958533536513,"(23, 13)"
84,train,medium,0.030759073445261555,0.514404296875,0.015822599548136255,"(24, 11)"
85,train,high,0.05725795359358723,0.2392578125,0.013699412725028195,"(17, 5)"
86,train,medium,0.037643768644755174,0.035888671875,0.001350984861030032,"(29, 20)"
86,train,high,0.06488209053904809,0.251220703125,0.016299724405439572,"(22, 5)"
86,train,high,0.06741230206602478,0.107666015625,0.0072580139675578435,"(22, 28)"
87,train,high,0.06420381101205137,0.562255859375,0.036098968935731036,"(7, 23)"
88,train,medium,0.04604713037330625,0.562255859375,0.02589026885979597,"(6, 12)"
88,train,medium,0.048633324705432905,0.418701171875,0.020362830046342147,"(25, 14)"
89,train,medium,0.034941852311547346,0.11962890625,0.0041800555743794435,"(23, 17)"
89,train,medium,0.03317050682939863,0.346923828125,0.01150763921010143,"(9, 27)"
90,train,high,0.05668615387533343,0.1435546875,0.008137563105150404,"(11, 26)"
90,train,high,0.0716195115555456,0.478515625,0.03427105533419663,"(10, 17)"
91,train,high,0.060275327449146016,0.322998046875,0.01946881304082524,"(26, 13)"
91,train,medium,0.0491291685251993,0.11962890625,0.005877268695641518,"(23, 28)"
91,train,medium,0.030269267448327267,0.035888671875,0.0010863238073496359,"(11, 22)"
91,train,high,0.06425262373906673,0.1435546875,0.009223765321916806,"(26, 4)"
92,train,high,0.06011136614850651,0.57421875,0.03451707353058772,"(14, 9)"
92,train,high,0.06539114195724605,0.035888671875,0.0023468012372351485,"(3, 19)"
93,train,medium,0.029002295597805948,0.035888671875,0.0010408538703314146,"(13, 5)"
94,train,high,0.05788169727346186,0.35888671875,0.020772972410153547,"(8, 15)"
94,train,high,0.07312091550821467,0.40673828125,0.029741075497237708,"(21, 12)"
95,train,medium,0.0542795824567703,0.538330078125,0.029220331864545535,"(7, 24)"
95,train,medium,0.051246971548902745,0.322998046875,0.01655267171855428,"(17, 17)"
96,train,high,0.0679619595047882,0.0478515625,0.0032520859528658414,"(17, 11)"
96,train,medium,0.03254068149620654,0.418701171875,0.013624821476072808,"(12, 23)"
97,train,high,0.06415293468705169,0.50244140625,0.032233090719226656,"(20, 16)"
98,train,medium,0.034508469541952254,0.275146484375,0.00949488407562993,"(25, 11)"
99,train,high,0.06470903335662291,0.31103515625,0.02012678430086367,"(11, 19)"
100,train,medium,0.0251480711082611,0.35888671875,0.009025308722935502,"(14, 22)"
100,train,high,0.07340123450813964,0.1435546875,0.010537091281930202,"(22, 14)"
101,train,medium,0.04408682597857905,0.322998046875,0.014239958683999044,"(12, 19)"
101,train,medium,0.053226605277752595,0.0478515625,0.002546976229111208,"(29, 24)"
102,train,high,0.0717413261646693,0.346923828125,0.0248887755078113,"(7, 9)"
103,train,medium,0.04236790214135139,0.26318359375,0.011150536745209178,"(25, 15)"
103,train,medium,0.05022865818573847,0.322998046875,0.016223758491145508,"(12, 23)"
103,train,high,0.06639513075533128,0.562255859375,0.03733105130115428,"(23, 26)"
104,train,high,0.06884092054582971,0.538330078125,0.037059138135633427,"(13, 6)"
104,train,medium,0.047492749717298076,0.0478515625,0.002272602281394146,"(9, 14)"
104,train,high,0.06105642405610886,0.11962890625,0.007304113229368491,"(16, 16)"
104,train,medium,0.0346516164807946,0.035888671875,0.0012436004938175798,"(7, 21)"
105,train,medium,0.03399157834377228,0.035888671875,0.0012199126016929993,"(16, 11)"
105,train,medium,0.04334004666676926,0.35888671875,0.015554167138708695,"(5, 23)"
106,train,medium,0.045333103387642154,0.478515625,0.021692598300727204,"(19, 24)"
106,train,high,0.06789389903204486,0.11962890625,0.00812207288225146,"(17, 10)"
106,train,high,0.06204220354459771,0.035888671875,0.002226612285414029,"(10, 8)"
106,train,medium,0.03595880776719786,0.562255859375,0.02021805036324626,"(6, 24)"
107,train,high,0.07364831571416859,0.035888671875,0.0026431402368122026,"(15, 24)"
108,train,high,0.05675073361919927,0.035888671875,0.002036708457524974,"(5, 6)"
108,train,high,0.0704333370901464,0.50244140625,0.03538862493445344,"(18, 23)"
109,train,medium,0.04104851629452848,0.35888671875,0.014731767322499234,"(6, 22)"
109,train,medium,0.02651921435838553,0.40673828125,0.010786379668230052,"(6, 9)"
109,train,medium,0.037606558806413545,0.299072265625,0.011247078744593894,"(17, 16)"
110,train,high,0.06737692122886321,0.538330078125,0.036271023268955906,"(22, 15)"
110,train,medium,0.04129614503133616,0.107666015625,0.004446191396196105,"(4, 23)"
110,train,medium,0.03845269889480632,0.50244140625,0.01932022810681431,"(7, 12)"
110,train,high,0.059674813978780585,0.634033203125,0.03783581345285478,"(24, 26)"
111,train,high,0.07075970010753578,0.035888671875,0.0025394716591327538,"(26, 3)"
111,train,high,0.06278026290760402,0.57421875,0.03604960409147575,"(23, 21)"
111,train,medium,0.03834366897455484,0.2392578125,0.009174022362076109,"(10, 6)"
111,train,medium,0.044568610973382716,0.107666015625,0.00479852476544477,"(14, 25)"
111,train,medium,0.05155575388551933,0.1435546875,0.007401070137862638,"(12, 16)"
111,train,high,0.0686880665743988,0.107666015625,0.0073953704490502615,"(4, 16)"
112,train,medium,0.029998631952558343,0.0478515625,0.0014354814117923426,"(6, 19)"
112,train,medium,0.03788709269124352,0.11962890625,0.004532391459645831,"(24, 15)"
113,train,high,0.0571417447868149,0.562255859375,0.03212828082129754,"(22, 25)"
114,train,high,0.061595777382714045,0.035888671875,0.0022105906433737706,"(18, 29)"
114,train,medium,0.05266145787577193,0.107666015625,0.00566984934648814,"(27, 27)"
114,train,medium,0.03705132563133834,0.035888671875,0.001329722868116879,"(5, 13)"
115,train,high,0.062443005844697884,0.035888671875,0.0022409965476490696,"(28, 12)"
115,train,high,0.06881535895600804,0.035888671875,0.002469691837532515,"(8, 28)"
116,train,medium,0.051239276856439156,0.0478515625,0.002451879458950702,"(3, 10)"
117,train,high,0.07136496443259069,0.11962890625,0.008537312639640976,"(13, 21)"
118,train,medium,0.029097473334923577,0.31103515625,0.009050337165208163,"(8, 23)"
118,train,high,0.061355346320694594,0.1435546875,0.008807847567521588,"(27, 16)"
118,train,medium,0.038258301202435695,0.55029296875,0.021053274148020034,"(8, 11)"
118,train,high,0.05785179231950589,0.346923828125,0.020070165255375458,"(19, 14)"
118,train,high,0.07253305885331768,0.035888671875,0.002603115149276782,"(25, 22)"
118,train,medium,0.03333536111618678,0.35888671875,0.011963618369334612,"(25, 5)"
119,train,high,0.0657047773502799,0.45458984375,0.029868724469292274,"(23, 7)"
119,train,medium,0.03396790211475145,0.2392578125,0.008127085955189557,"(7, 6)"
120,train,high,0.06615973462992086,0.538330078125,0.03561577511205457,"(22, 19)"
120,train,medium,0.02916365822838073,0.57421875,0.016746319373327996,"(9, 17)"
120,train,high,0.06699375036215413,0.1435546875,0.009617266897692048,"(4, 7)"
120,train,medium,0.03129767749195995,0.1435546875,0.004492928311834094,"(18, 8)"
120,train,medium,0.027059883152914223,0.31103515625,0.008416574984573417,"(6, 27)"
121,train,medium,0.045188954111535506,0.299072265625,0.013514762887361084,"(16, 16)"
121,train,medium,0.04777799430660859,0.40673828125,0.019433139285842265,"(7, 6)"
121,train,medium,0.04320289930616045,0.11962890625,0.005168315590824858,"(25, 7)"
121,train,medium,0.0494318640031373,0.035888671875,0.0017740439473782185,"(19, 9)"
122,train,medium,0.050632624874808414,0.35888671875,0.01817137660301962,"(20, 17)"
122,train,medium,0.049122091959037356,0.31103515625,0.015278697547806053,"(7, 5)"
123,train,high,0.05634206402941197,0.0478515625,0.0026960557982824086,"(7, 10)"
123,train,high,0.07246547861310593,0.11962890625,0.008668965947368629,"(12, 17)"
123,train,high,0.07479767416017608,0.3349609375,0.025054299059512102,"(26, 16)"
124,train,high,0.059608085452361737,0.45458984375,0.027097230252025768,"(8, 6)"
124,train,medium,0.040710367599740074,0.035888671875,0.0014610410246977028,"(29, 14)"
124,train,high,0.059305142766486955,0.035888671875,0.00212838280924648,"(9, 14)"
124,train,medium,0.04827796993213218,0.287109375,0.013861057773483263,"(19, 18)"
124,train,medium,0.02653813877974333,0.035888671875,0.0009524185548394213,"(29, 23)"
125,train,high,0.06828371744624294,0.0478515625,0.003267482573111234,"(18, 14)"
125,train,high,0.05620606365084747,0.59814453125,0.03361934959584382,"(8, 14)"
125,train,medium,0.03035452246057618,0.35888671875,0.010893834965099361,"(18, 25)"
125,train,medium,0.03222694133168348,0.11962890625,0.003855273743292213,"(21, 4)"
126,train,high,0.06875334702044344,0.1435546875,0.009869865246098815,"(6, 27)"
127,train,medium,0.029598783006032466,0.035888671875,0.0010622610112028252,"(18, 16)"
127,train,high,0.07286629310631587,0.322998046875,0.023535670356361303,"(8, 18)"
127,train,medium,0.04771634425855422,0.0478515625,0.0022833016295597235,"(8, 8)"
127,train,medium,0.02724413577970572,0.035888671875,0.0009777558495158059,"(16, 5)"
128,train,high,0.0642053684318116,0.57421875,0.03686792640420432,"(17, 9)"
128,train,medium,0.028873446212318743,0.11962890625,0.0034540987900478965,"(20, 27)"
128,train,medium,0.040621171391228394,0.035888671875,0.0014578398912379331,"(16, 19)"
129,train,high,0.05988991503819613,0.107666015625,0.006448108528282347,"(25, 28)"
129,train,high,0.05648308368402155,0.50244140625,0.02837943999553622,"(11, 8)"
129,train,high,0.06520214293586865,0.31103515625,0.02028015871589274,"(22, 20)"
129,train,high,0.06667251365422798,0.322998046875,0.021535091690562405,"(7, 20)"
130,train,high,0.06803393169505587,0.0478515625,0.003255529934626697,"(27, 26)"
